# Data Source: Frequency Noise PSD for 950nm laser used for intermediate state Rydberg Excitation
# Reference: de Léséleuc, S., et al. "Analysis of imperfections in the coherent 
#            optical excitation of single atoms to Rydberg states." 
#            Phys. Rev. A 97, 053803 (2018).
# DOI: https://doi.org/10.1103/PhysRevA.97.053803
# Note: This data corresponds to the frequency noise spectral density 
#       characterizing the 950nm laser used for 5P1/2 -> nD3/2 excitation.
frequency_hz,psd_Hz^2/Hz
10.0,1.2e-9
30943.28067892278, 2.2731599418879234
32104.033082128786, 2.416971721448662
33308.32793177183, 2.5728301566224907
34557.798603442185, 2.7403097288592777
35854.1397443406, 2.975655126286336
37199.109571714886, 3.254585290117796
38594.53225751637, 3.559078603188781
40042.30040250943, 3.8954082710234865
41544.37760319129, 4.17882178988829
43102.80111500235, 4.405149230912231
44719.68461543961, 4.665082125209922
46397.22107082082, 4.93226691936383
48137.685710587335, 5.2511842727264195
49943.43911317983, 5.591638482697277
51816.93040767222, 5.951930955232907
53760.70059550602, 6.499106103625005
55777.385996830584, 7.129304949536262
57869.72182612326, 7.847881936826096
60040.54590193919, 8.651453726803052
62292.80249582207, 9.516433842640765
64629.546325596864, 10.409758362443098
67053.94669845875, 11.21524892259102
69569.29180947988, 12.057693349053944
72178.99320136232, 12.943615032509191
74886.59039148636, 13.913228242684077
77695.7556725301, 15.127945987980679
80610.29909317089, 16.517566603124134
83634.17362562433, 17.854065199042413
86771.48052702917, 19.202528794476578
90026.47490195006, 20.61509533566139
93403.57147354202, 22.035110297146232
96907.35057120529, 23.37549719095801
100542.56434284888, 24.6245808994042
104314.1432001919, 25.76846761507849
108227.20250584188, 27.686889975229867
112287.04951122063, 29.778606839064533
116499.19055474745, 31.875914407561385
120869.33853004238, 33.10516623639086
125403.42063427875, 33.911985172013466
130107.5864071938, 35.03849587090083
134988.21607166092, 36.515100111173666
140051.92918713548, 37.85808627665193
145305.59362771103, 39.47290731920202
150756.33489696262, 40.72517515271845
156411.54579221088, 41.8774580912498
162278.8964313156, 44.629069740799096
168366.34465559438, 45.429339386427344
174682.14682298095, 46.456544380420496
181234.86900605806, 48.72460939933674
188033.39861015402, 51.30330116703074
195086.95642726027, 52.94389221475511
202405.10914211877, 54.583572534180746
209997.7823074409, 57.56624759170728
217875.2738058562, 60.07417118982572
226048.2678168493, 61.60718218424216
234527.84930762748, 64.56025805920459
243325.51906757616, 67.8231743485082
252453.20930668592, 71.49651728205059
261923.29983911634, 74.7142613656365
271748.6348738398, 79.40962825376023
281942.54043514055, 83.61000536548354
292518.84243659617, 88.66510017456781
303491.8854330551, 93.87578055609137
314876.55207604286, 98.57187067889811
326688.2832989848, 105.10029558989118
338943.099259622, 112.52094026684784
351657.62106802495, 122.27464807797719
364849.0933296735, 128.0867902697508
378535.4075341793, 137.13040478166957
392735.1263213715, 147.7413375925033
407467.50865765894, 161.40174371825645
422752.5359568128, 173.16947391747533
438610.93918060395, 184.75952313392196
455445.2522880616, 195.00829202187668
472134.71474733687, 219.8111899570941
489845.55512223113, 236.81983053842717
508220.76915359945, 256.31748206995354
527285.2789990623, 272.84611635582587
547064.9417027073, 298.2591032566552
567586.5842647938, 326.2883902409809
588878.0400269999, 355.51079742047887
611786.893976856, 386.0418559665538
629130.1380714155, 431.4399750505687
653276.7627530021, 447.5002509021132
676837.8598441031, 483.7388969961457
703207.8101144902, 522.2487500520195
729586.7246198168, 557.0654140698954
756955.171835774, 607.8046634135176
785350.2713711015, 633.661119289054
814810.5352749685, 658.2052169624255
845375.9202705603, 693.8966201252063
877087.8819480737, 718.4311320559818
909989.4309905954, 724.6113345852959
944125.1915091588, 723.09462963176
979541.4615660717, 716.1351123852687
1016286.2759686123, 701.2061159154094
1054409.471418259, 664.5548916324058
1093962.7541038143, 638.7675915261044
1134999.7698301012, 602.0246167127763
1174950.915157053, 550.8954867976215
1221749.7209899132, 515.9459728621246
1267580.3146968465, 474.44942509636576
1315130.1175703085, 436.1028074138022
1364463.621032278, 402.4015157258241
1415647.7357237497, 379.60690657165924
1468751.8822551086, 351.9393789697668
1525124.0035461127, 324.15970119469756
1577612.1470294276, 299.162792415083
1638260.366591665, 279.93051794017845
1701850.4205343754, 269.11759692549975
1764902.6955663478, 252.8148311068602
1831925.7252058177, 245.38908447143302
1904284.8681795227, 229.89213460696783
1967777.8351882217, 223.37498121833855
2050134.2472756377, 209.03334995901488
2122661.835191951, 203.51788765222994
2202287.678746123, 196.20359491167667
2284900.467680188, 189.0876341832119
2378031.0782107306, 181.06141177489297
2466607.160568866, 176.31799284125867
2545894.669484625, 173.59001583493622
2650793.4900575615, 168.40800149348402
2743011.7614209577, 169.38905701490305
2851565.0800602254, 163.31125298970278
2961739.889809521, 167.98331640244714
3066235.3231877037, 167.04010185252454
3182778.563395158, 171.29338456392918
3302171.7817377094, 172.67378314929192
3426043.7095796065, 178.51208878313173
3548160.454240908, 181.95366321721465
3687902.022134076, 188.50434562698757
3835121.9598043957, 194.27314739502867
3919592.4543644637, 206.27897230330575
