Trace
Swept SA
A.14.10,N9010A
19808.02,-69.8320631013879
19908.01,-69.1585847232035
20008,-69.8100161174608
20107.99,-69.8773681434374
20207.98,-69.3200993961201
20307.97,-69.3916066574158
20407.96,-69.9761124932585
20507.95,-69.9137586249523
20607.94,-69.0633671362569
20707.93,-69.0870976376484
20807.92,-69.8764315424952
20907.91,-69.6140635130242
21007.9,-70.2156340634004
21107.89,-69.754612771051
21207.88,-69.7025901322075
21307.87,-69.5933604146437
21407.86,-70.5097008401029
21507.85,-70.0731016959215
21607.84,-69.9908312756774
21707.83,-69.5012879015018
21807.82,-69.4643077127589
21907.81,-70.8645612354228
22007.8,-69.4503428012694
22107.79,-70.552395411259
22207.78,-69.8799596811738
22307.77,-70.0209610449366
22407.76,-70.2243582224272
22507.75,-71.1091757532686
22607.74,-69.961388873948
22707.73,-70.5731417741922
22807.72,-69.91399407565
22907.71,-70.4867004488992
23007.7,-70.6159846796497
23107.69,-70.8588127189073
23207.68,-70.8939186098316
23307.67,-70.7962371493019
23407.66,-70.368998488068
23507.65,-70.8355405924941
23607.64,-70.525279143006
23707.63,-70.7708532762091
23807.62,-71.5681682510909
23907.61,-71.2053270858855
24007.6,-70.609187402937
24107.59,-70.6347579629746
24207.58,-70.8365004273478
24307.57,-71.1410614998389
24407.56,-70.6574215335825
24507.55,-70.6600900911584
24607.54,-71.082216513415
24707.53,-70.9173109697509
24807.52,-71.0560323085445
24907.51,-71.0673824544997
25007.5,-71.0926170730386
25107.49,-70.7384290312091
25207.48,-70.9467588499685
25307.47,-71.1055111441294
25407.46,-70.8679018969005
25507.45,-71.2979838002066
25607.44,-71.1238576297302
25707.43,-71.9180118016509
25807.42,-72.011004365411
25907.41,-71.0662932543851
26007.4,-71.5961929610716
26107.39,-71.5455958662033
26207.38,-71.7240677341199
26307.37,-71.7730282890476
26407.36,-72.3262377362365
26507.35,-71.3904628965116
26607.34,-71.6002011596256
26707.33,-71.3664928178909
26807.32,-71.90996073039
26907.31,-71.6016698202643
27007.3,-71.9313963624005
27107.29,-71.5593938954485
27207.28,-71.7274632040108
27307.27,-71.7095427882935
27407.26,-72.0690502357873
27507.25,-71.5833642894569
27607.24,-72.0117902887988
27707.23,-71.9350880071912
27807.22,-71.7879325194701
27907.21,-71.7102498933851
28007.2,-71.961995948564
28107.19,-72.1337912213643
28207.18,-71.7537639055314
28307.17,-72.2115733086868
28407.16,-71.6186542240386
28507.15,-72.4253121894506
28607.14,-72.4764123386761
28707.13,-71.9246769362512
28807.12,-72.3589717885914
28907.11,-72.2863932824553
29007.1,-72.6304736690745
29107.09,-72.6650782383742
29207.08,-72.2625688506473
29307.07,-72.7458536679207
29407.06,-72.7491087643883
29507.05,-73.3097752822949
29607.04,-72.5730638358126
29707.03,-73.0681057328582
29807.02,-72.7526478603346
29907.01,-72.8726719672821
30007,-72.6152457108952
30106.99,-72.2458962969087
30206.98,-72.3790465247603
30306.97,-72.5316892192599
30406.96,-73.227655305115
30506.95,-72.7540840221963
30606.94,-72.9965165620045
30706.93,-73.081205052463
30806.92,-72.1502111406367
30906.91,-73.2551562274054
31006.9,-73.6938997569701
31106.89,-73.3920743300265
31206.88,-73.3424242176218
31306.87,-73.0974339121363
31406.86,-72.7438632408175
31506.85,-72.8891649328701
31606.84,-72.9159465646627
31706.83,-72.3805978738959
31806.82,-72.4065384053715
31906.81,-72.9294362859871
32006.8,-72.8762108937785
32106.79,-73.4648376523258
32206.78,-73.1659048069471
32306.77,-73.6865739318336
32406.76,-73.304247033044
32506.75,-73.0398438713297
32606.74,-73.3484977038423
32706.73,-73.3801260672881
32806.72,-72.8232361132783
32906.71,-73.1020192620218
33006.7,-73.5122108225681
33106.69,-73.2935784415464
33206.68,-74.0598461238484
33306.67,-73.4325647982704
33406.66,-73.3792729766816
33506.65,-73.6223830932817
33606.64,-74.317527432776
33706.63,-73.1156616425082
33806.62,-74.3299277607855
33906.61,-73.2380433043567
34006.6,-74.3110388779054
34106.59,-74.0620563459997
34206.58,-74.3837184928727
34306.57,-73.2522722298331
34406.56,-74.2316922317319
34506.55,-73.4301639022331
34606.54,-74.2873497906812
34706.53,-73.6497831705996
34806.52,-73.8113703114638
34906.51,-73.6608344149411
35006.5,-74.0578648859807
35106.49,-73.7877736815658
35206.48,-73.9503325124461
35306.47,-73.9790109243314
35406.46,-73.6790399022448
35506.45,-74.994826503351
35606.44,-73.7067379698521
35706.43,-73.6238970085914
35806.42,-74.424555709871
35906.41,-74.0546927073223
36006.4,-74.5951307281558
36106.39,-74.3675802985777
36206.38,-74.112436006143
36306.37,-74.2673694791058
36406.36,-74.4240787873145
36506.35,-74.2126828281518
36606.34,-75.5461508101928
36706.33,-74.1643912347914
36806.32,-75.2830553795862
36906.31,-74.3236362095828
37006.3,-74.6970933327296
37106.29,-74.8762480677078
37206.28,-75.0201222992978
37306.27,-74.8046977974903
37406.26,-74.443648503008
37506.25,-74.0809972409987
37606.24,-73.7697347980399
37706.23,-74.9130996080536
37806.22,-74.952687479683
37906.21,-74.4359703284268
38006.2,-74.5793614789985
38106.19,-74.5902724084812
38206.18,-74.7409665693897
38306.17,-75.0652192405833
38406.16,-74.6919194837035
38506.15,-74.849054985199
38606.14,-74.7164960668648
38706.13,-74.9756762822108
38806.12,-74.171286855923
38906.11,-74.9103224230331
39006.1,-74.9885189648624
39106.09,-75.3031270401738
39206.08,-74.9425787158235
39306.07,-74.9552024093219
39406.06,-75.1459236957766
39506.05,-75.2764155812883
39606.04,-75.5839490609721
39706.03,-75.328736496298
39806.02,-75.8653936663263
39906.01,-74.7484653776357
40006,-75.3602682885789
40105.99,-75.6329307671709
40205.98,-75.3582156054145
40305.97,-75.1168390135843
40405.96,-75.2605810719749
40505.95,-75.1250152091805
40605.94,-75.9482794411795
40705.93,-74.7399663636537
40805.92,-74.5960154783963
40905.91,-76.2082676202857
41005.9,-75.2110631335156
41105.89,-75.4269467039701
41205.88,-75.2246928313055
41305.87,-75.8354939616774
41405.86,-74.6010725297216
41505.85,-75.859271986217
41605.84,-75.6338534670616
41705.83,-75.6524551118879
41805.82,-75.0187103580657
41905.81,-75.7172391184801
42005.8,-75.4865937251224
42105.79,-76.2542840965601
42205.78,-75.5252642983093
42305.77,-75.1881572626775
42405.76,-76.2738540205177
42505.75,-76.8312815437403
42605.74,-75.5214459679511
42705.73,-76.4153686559922
42805.72,-75.62977369651
42905.71,-75.4358824078445
43005.7,-74.9536016959858
43105.69,-75.3453395328817
43205.68,-76.0826524870236
43305.67,-76.256257634311
43405.66,-76.0863683724719
43505.65,-75.8724856600461
43605.64,-76.0415316567884
43705.63,-75.5346335294948
43805.62,-76.3203220004528
43905.61,-74.9797942041568
44005.6,-76.3114533926863
44105.59,-76.5451199588
44205.58,-75.0260092692285
44305.57,-75.9857570412383
44405.56,-76.1252969661084
44505.55,-75.9011506751915
44605.54,-75.9100146652523
44705.53,-75.9977523228654
44805.52,-76.3369972343548
44905.51,-76.3229527611519
45005.5,-76.1769843999828
45105.49,-75.7198666623153
45205.48,-75.9011582535356
45305.47,-76.0098885479797
45405.46,-75.7678012720617
45505.45,-75.98728777332
45605.44,-76.2111209434208
45705.43,-76.1308423702857
45805.42,-76.3733164059859
45905.41,-76.8649453523654
46005.4,-75.5893593673604
46105.39,-76.6871087763968
46205.38,-75.8375096013741
46305.37,-76.2383737603127
46405.36,-76.4531816870311
46505.35,-76.6305380171483
46605.34,-76.9759971902326
46705.33,-76.4638286210849
46805.32,-76.6230920909361
46905.31,-75.626182510725
47005.3,-76.0152340171219
47105.29,-76.185438549766
47205.28,-76.541319141246
47305.27,-76.3703329517741
47405.26,-76.6583953392203
47505.25,-76.13957051203
47605.24,-76.8377342499286
47705.23,-75.4464754776535
47805.22,-76.0205306349908
47905.21,-76.2815031704081
48005.2,-76.7604075849538
48105.19,-76.623525739236
48205.18,-76.7215172278971
48305.17,-77.0832763325234
48405.16,-76.8279358634509
48505.15,-76.3874407911396
48605.14,-77.7043700849525
48705.13,-77.1924770580787
48805.12,-76.4805783931148
48905.11,-75.9995766180688
49005.1,-77.885068243619
49105.09,-76.9173335941958
49205.08,-76.2156117811826
49305.07,-77.4214195192564
49405.06,-76.9047890848754
49505.05,-76.0000822013484
49605.04,-76.7039564080291
49705.03,-77.4118823083681
49805.02,-77.5426896888256
49905.01,-76.418950267785
50005,-77.0322608849699
50104.99,-77.0766216697423
50204.98,-77.1126804452011
50304.97,-77.3086336910785
50404.96,-77.2722889142032
50504.95,-77.0575072983846
50604.94,-77.1451255336335
50704.93,-77.4440967907461
50804.92,-76.3224099483419
50904.91,-77.2330356526112
51004.9,-77.2822438856107
51104.89,-77.7106983026669
51204.88,-76.9304736086287
51304.87,-77.2055331590107
51404.86,-77.0791181547206
51504.85,-77.0672716702923
51604.84,-77.83060790893
51704.83,-77.0150912369266
51804.82,-77.0765379770534
51904.81,-77.1695901215883
52004.8,-77.119000379711
52104.79,-77.2899377983935
52204.78,-77.1008713566771
52304.77,-77.5567718749013
52404.76,-77.2855341683036
52504.75,-76.5769845386649
52604.74,-76.9113435836732
52704.73,-77.9009044763113
52804.72,-77.7945553185619
52904.71,-77.9499201258289
53004.7,-77.4451791130051
53104.69,-77.3309697808517
53204.68,-77.6522030321882
53304.67,-76.6117955416468
53404.66,-77.6368090582802
53504.65,-78.3266870443448
53604.64,-77.7548089625784
53704.63,-78.0314267567154
53804.62,-78.351007158543
53904.61,-78.1291588822094
54004.6,-77.9216930191438
54104.59,-77.628918897861
54204.58,-77.2488525519245
54304.57,-77.4443529259878
54404.56,-77.8097525574246
54504.55,-77.4849120084022
54604.54,-77.5254548680492
54704.53,-77.7697006882706
54804.52,-77.505870018243
54904.51,-78.203541542512
55004.5,-77.3260794292818
55104.49,-77.7635331288015
55204.48,-77.1275466552243
55304.47,-77.7066970419302
55404.46,-77.9911716432319
55504.45,-77.6846588551959
55604.44,-77.7726667500282
55704.43,-77.4805048433731
55804.42,-78.0840407465682
55904.41,-78.0866459663309
56004.4,-78.1872530548713
56104.39,-77.7723465585618
56204.38,-78.9201180775113
56304.37,-78.0907382280547
56404.36,-77.69614375467
56504.35,-78.3842725070587
56604.34,-78.4964450678137
56704.33,-78.5977662421141
56804.32,-78.9874170455526
56904.31,-78.0872443233056
57004.3,-77.9362934145485
57104.29,-78.4179412777462
57204.28,-78.036194702073
57304.27,-77.9735261105505
57404.26,-77.708966021643
57504.25,-79.3543627831532
57604.24,-78.2458469789599
57704.23,-77.5495607213856
57804.22,-77.6541212264468
57904.21,-78.5933231306087
58004.2,-78.715445173605
58104.19,-77.8061662556458
58204.18,-78.5971542741928
58304.17,-79.0022083527101
58404.16,-78.9032020499158
58504.15,-77.9537382510015
58604.14,-78.4998324554089
58704.13,-78.412687160915
58804.12,-78.3618276686256
58904.11,-77.8917098603846
59004.1,-78.2339831852133
59104.09,-78.8532674310413
59204.08,-78.4286759072442
59304.07,-78.8453444455757
59404.06,-78.486991569488
59504.05,-77.467838751579
59604.04,-78.8739224274749
59704.03,-77.4675524605083
59804.02,-77.886942119918
59904.01,-79.327652895516
60004,-79.0403544269136
60103.99,-78.1108696877409
60203.98,-78.4634545599307
60303.97,-78.1639799008075
60403.96,-78.4458648367089
60503.95,-78.6461889229661
60603.94,-78.5265179637296
60703.93,-78.7795914606535
60803.92,-79.0833351958066
60903.91,-78.5019155736888
61003.9,-78.7310444327577
61103.89,-78.6753189294438
61203.88,-79.0711205394697
61303.87,-79.0097203965425
61403.86,-79.7350861429703
61503.85,-79.5757279950936
61603.84,-79.003421635718
61703.83,-78.5325222110591
61803.82,-78.5706609630714
61903.81,-79.1279007077959
62003.8,-78.4958345673541
62103.79,-78.7613950997618
62203.78,-78.7767348939647
62303.77,-78.6631885220429
62403.76,-78.7959232414089
62503.75,-79.1612657629422
62603.74,-79.2478532288983
62703.73,-79.0428333234968
62803.72,-78.7781917736003
62903.71,-78.9247188956927
63003.7,-79.142622322163
63103.69,-79.0031510307775
63203.68,-79.1936772994419
63303.67,-78.7944145589974
63403.66,-78.5370573582718
63503.65,-78.9904090663971
63603.64,-79.1282126209677
63703.63,-78.7520153340392
63803.62,-78.6450089682238
63903.61,-78.9254273051912
64003.6,-79.3863997311053
64103.59,-79.2681120822767
64203.58,-78.6106105194312
64303.57,-79.5128372448087
64403.56,-79.8478878771077
64503.55,-79.9688784746008
64603.54,-79.465760996851
64703.53,-79.0252813609522
64803.52,-78.9490340725723
64903.51,-80.3391513183428
65003.5,-79.0265441546079
65103.49,-79.9532850414758
65203.48,-78.9995240651341
65303.47,-79.2644949104151
65403.46,-79.1863047905243
65503.45,-78.7349927919985
65603.44,-79.630260774371
65703.43,-79.0198811162334
65803.42,-79.2100643882372
65903.41,-79.3827390715228
66003.4,-79.9313443026247
66103.39,-79.3800201546551
66203.38,-78.9736856435167
66303.37,-79.6710829490856
66403.36,-79.5071027372458
66503.35,-78.7606277970502
66603.34,-78.8261396789905
66703.33,-79.5871362794327
66803.32,-79.9789734574852
66903.31,-78.8848247375812
67003.3,-79.8703268580848
67103.29,-79.0231519274753
67203.28,-79.6990425797715
67303.27,-79.9851332856916
67403.26,-78.8614739767925
67503.25,-79.7162767338775
67603.24,-79.0734644445197
67703.23,-79.4307942005383
67803.22,-79.3890997692338
67903.21,-80.3530185372481
68003.2,-80.0152859185412
68103.19,-79.8752864720001
68203.18,-79.6537312988238
68303.17,-79.2276394604013
68403.16,-80.2413341301592
68503.15,-80.1014011109278
68603.14,-79.5487862288913
68703.13,-80.393244841128
68803.12,-79.4267735317173
68903.11,-79.8986604030608
69003.1,-79.8786203896924
69103.09,-78.8556835911338
69203.08,-80.0021598084878
69303.07,-80.5917171674533
69403.06,-79.5100141829355
69503.05,-79.4198506838999
69603.04,-79.5155098956394
69703.03,-79.2423793485472
69803.02,-80.185570430569
69903.01,-80.1868216367428
70003,-79.9470461389081
70102.99,-80.0456274637736
70202.98,-79.5707757156277
70302.97,-80.950960391521
70402.96,-79.8634033406543
70502.95,-79.5694693871583
70602.94,-79.6204231215463
70702.93,-79.2045440383523
70802.92,-79.3959263515465
70902.91,-80.6460192006122
71002.9,-80.2255049018131
71102.89,-80.0496087290066
71202.88,-79.8516883309203
71302.87,-80.5707913243087
71402.86,-80.2420824177017
71502.85,-79.3774804620996
71602.84,-80.0716293854598
71702.83,-81.0114776144151
71802.82,-79.8517598834412
71902.81,-79.7174057042962
72002.8,-79.5538036581654
72102.79,-79.5296730534119
72202.78,-79.9791027937971
72302.77,-79.3427479244469
72402.76,-79.9767238215389
72502.75,-79.7404248735885
72602.74,-80.1829399375815
72702.73,-79.759353259263
72802.72,-80.0372858889307
72902.71,-79.3893481052641
73002.7,-80.7638219652342
73102.69,-80.539937400616
73202.68,-79.4607926581015
73302.67,-79.9925630676654
73402.66,-80.6550885965757
73502.65,-79.3158644976346
73602.64,-79.8239392537607
73702.63,-80.1338918586015
73802.62,-80.1056792746318
73902.61,-80.8729644462912
74002.6,-80.5167108151279
74102.59,-80.9004803773508
74202.58,-81.1925583737365
74302.57,-79.8531972339386
74402.56,-79.5857655113089
74502.55,-80.8955058854456
74602.54,-80.1212028137815
74702.53,-80.5343297997642
74802.52,-80.0347640947985
74902.51,-80.2242956176669
75002.5,-81.1945854028852
75102.49,-80.642836566221
75202.48,-81.4266023844306
75302.47,-80.7302418383882
75402.46,-80.9861117318709
75502.45,-81.1869986314534
75602.44,-80.8590963453226
75702.43,-80.1721508540785
75802.42,-80.3379727771703
75902.41,-80.4416938017872
76002.4,-80.3873405269026
76102.39,-80.3337618133021
76202.38,-80.964388231059
76302.37,-80.5494326961249
76402.36,-80.294311050231
76502.35,-81.1421021570818
76602.34,-81.0460873005507
76702.33,-80.5440618378701
76802.32,-80.7927384904406
76902.31,-80.3209688325298
77002.3,-81.5011832905963
77102.29,-81.5148006267582
77202.28,-80.7100650129264
77302.27,-80.0993300212958
77402.26,-80.8879672891402
77502.25,-81.54563861019
77602.24,-80.3271854841474
77702.23,-81.7733543727411
77802.22,-80.6378065200377
