# Data Source: Frequency Noise PSD for 795nm laser used for intermediate state Rydberg Excitation
# Reference: de Léséleuc, S., et al. "Analysis of imperfections in the coherent 
#            optical excitation of single atoms to Rydberg states." 
#            Phys. Rev. A 97, 053803 (2018).
# DOI: https://doi.org/10.1103/PhysRevA.97.053803
# Note: This data corresponds to the frequency noise spectral density 
#       characterizing the 795nm laser used for 5S1/2 -> 5P1/2 excitation.
# frequency_hz,psd_Hz^2/Hz
10.0,1.2e-9
31120.436889674605, 2.839126303960568
32288.840781810915, 2.87186781825797
33501.1119133436, 2.9033219263797894
34758.897261576676, 3.0144204101226313
37217.84895714476, 3.0507571887744502
38563.458230720695, 3.2467406385502313
40011.307271232065, 3.428477721942894
41513.51520330259, 3.564777484949315
43072.12290896407, 3.717136024940965
44689.24789431749, 3.8677613931073083
46367.08716635191, 4.041997858456709
48107.920217772335, 4.245935223342509
49914.11212389168, 4.457970930345751
51788.1167557943, 4.675231569198708
53732.48011413635, 4.883042959886291
55749.8437881124, 5.117665350760426
57842.94854428739, 5.34032929216223
60014.63805016992, 5.615381545794636
62267.8627375854, 5.902956289870524
64605.683811098126, 6.248710262511555
67031.27740692775, 6.670206821504575
69547.93890801062, 7.1258519298841225
72159.08742106825, 7.607885345841771
74868.27042176557, 8.156057358003906
77679.1685742696, 8.714890729206072
80595.60073175651, 9.39179879452107
83621.52912466066, 9.985972250170951
86761.06474371428, 10.63165909008501
90018.47292509106, 11.388838753395767
93398.17914524185, 12.199944246877852
96904.7750332948, 13.031407163006566
100543.02460918883, 13.983525422703227
104317.87075601492, 15.074188150466362
108234.44193535914, 16.240604875459837
112298.05915477013, 17.477225737381456
116514.24319681745, 18.732678698237436
120888.72211956157, 19.965985905390056
125427.43903862721, 21.409857717008684
130136.56020144884, 23.1327350240083
135022.48336466294, 25.210124214542766
140091.8464860247, 27.53714646838452
145351.5367426593, 29.736041210785054
150808.69988789986, 32.592751026442485
156470.7499594238, 35.41800443722001
162345.37935187735, 38.27361965721154
168440.5692676723, 41.80047713975928
172727.07000860755, 43.5620471003367
178313.5856429585, 51.38264360690961
185008.29523924759, 54.91600043948147
191954.35492990576, 58.22789778076471
199161.20154994886, 63.23384984546848
206638.6262364484, 69.43365422251456
214396.7877306552, 75.99040298442968
222446.2261795458, 83.83996169568829
230797.87745554216, 93.12748632037426
239463.0880138594, 100.80303598286606
248453.63030766643, 109.83071186889661
257781.7187820024, 121.49137702870202
267460.02646817797, 134.39004847705257
277501.7022012067, 150.11411846890854
287920.3884836579, 160.71298051682373
298730.2400201998, 173.37574350073376
309945.9429480151, 191.29663790868216
321582.7347892143, 207.04631215097874
333656.4251523538, 226.04662713610432
346183.41721118457, 248.90166046048319
359180.7299898107, 273.1263722800844
372666.02148453565, 298.8623069997723
386657.61265380855, 321.79095114402185
401174.5123088624, 346.1742267135912
416236.442938862, 371.1688414321147
431863.8675056456, 407.6567768654097
448078.01724446414, 442.3453191921014
464900.9205084879, 467.6416069263295
482355.4326962681, 511.6377206601028
500465.26730281254, 546.246333630013
519255.0281364613, 605.2117537150701
538750.2427453309, 640.833429007277
558977.3970987416, 695.6626202352875
579478.36360676, 752.202254593087
601738.4782746298, 808.8432784841435
624330.4997991582, 861.7736641520621
647770.7293991088, 945.5760311373639
672091.0126947784, 1005.745764784741
697324.3909370664, 1082.9285106349528
723505.1458969293, 1156.9433706955053
750668.8464401918, 1224.5084415984497
778852.3968509894, 1294.5340901759891
808094.0869694955, 1374.8556198518393
838433.6442120471, 1436.0847853082626
869912.287544346, 1497.4630290044156
902572.7834810591, 1516.4699744692425
936459.5041879097, 1508.6654189622718
971618.4877651685, 1501.7617626374863
1008097.5007944837, 1478.4117525609813
1045946.1032339939, 1453.4791337534048
1085215.7157499054, 1403.5264897041352
1125959.6895760049, 1326.8441650917066
1168233.378996017, 1240.7619799144368
1212094.2165472847, 1188.5418434347193
1257601.7910479384, 1118.4636848921937
1303809.4037480243, 1037.310725024164
1353457.8899667277, 987.9031170053108
1404634.8901198593, 918.7027022405955
1457371.32433075, 864.4107491972682
1513354.868895466, 804.9749725069811
1557075.4045400564, 752.6855665488334
1617792.1726289773, 709.9807731049112
1677594.413518371, 664.7896638484692
1740578.9997929723, 628.1426608728317
1805928.3162289376, 588.3190953732739
1873731.1456391234, 566.012091979754
1944079.6041502617, 530.0474605309565
2017069.266350847, 499.0856795637505
2092799.2951376473, 476.84660108343485
2171372.5764372502, 458.35145076315905
2252895.858985674, 440.0687765272249
2334469.518888253, 423.84040094561055
2429887.5372004877, 410.5050189906297
2521358.0206177463, 401.3071132403928
2612149.0346627072, 390.96943731533105
2705008.5410168804, 398.2834517605427
2814257.228019502, 396.2969617295496
2916006.5426725773, 402.7653615570649
3016810.157319534, 405.4694554173423
3139077.4452311234, 412.4236514561171
3256932.805608222, 424.45767895572664
3379212.9965962106, 428.61480534622154
3506084.146624654, 436.6759117202966
3619481.5075565134, 476.79534464476313
3736546.4819649886, 508.4698423627119
3876833.569455224, 527.7756315475021
3955561.323602303, 542.8123017721782
